P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12.1,P12.2,P12.3,P12.4,P12.5,P12.6,P12.7,P12.8,P12.9,P13,P14,P15,P16,P17.1,P17.2,P17.3,P17.4,P17.5,P17.6,P18,P19,P20.1,P20.2,P20.3,P20.4,P20.5,P20.6,P20.7,P21.1,P21.2,P21.3,P22.1,P22.2,P22.3,P23,P24.1,P24.2,P24.3,P24.4,P24.5,P24.6,P12.I,P17.I,P20.I,P22.I,P24.I
Mujer,Española,De 65 en adelante,Sin estudios,Altabix,Jubilado/Pensionista,Servicio doméstico,Nunca he cotizado,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,No,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,Sí,9,0,7,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,18,3,2,2,5
Mujer,Española,Entre 55 y 64 años,Educación Primaria,Carrús,Trabajador por cuenta ajena,Servicio doméstico,Menos de 10 años cotizados,En general responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,8,10,6,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,17,6,3,3,5
Hombre,Española,Entre 25 y 34 años,Bachillerato,Carrús,Trabajador por cuenta ajena,Calzado,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Otro,Sí,No,Sí,Sí,Sí,Sí,No,Sí,5,3,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,14,6,5,3,5
Mujer,Española,Entre 25 y 34 años,Título Universitario,Torrellano,Trabajador por cuenta ajena,Resto sector servicios,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Igual,Ha disminuido,Sí,Empresario,No,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,2,1,7,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,17,3,4,3,5
Mujer,Española,Entre 45 y 54 años,Educación Primaria,Altabix,Trabajador por cuenta ajena,Servicio doméstico,Menos de 10 años cotizados,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Poca,Moderada o mucha,Poca,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,NS-NC,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,5,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,10,6,4,3,5
Mujer,Española,Entre 45 y 54 años,Formación Profesional,El Pla,Otro,Calzado,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,7,5,8,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,18,6,3,3,5
Hombre,Española,Entre 35 y 44 años,Título Universitario,Torrellano,Trabajador por cuenta ajena,Resto sector servicios,Entre 10 y 20 años cotizados,Muy poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,Sí,Sí,No,Sí,3,2,5,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,15,6,4,2,5
Mujer,Española,De 65 en adelante,Educación Primaria,El Pla,Jubilado/Pensionista,Calzado,Menos de 10 años cotizados,En general responsables,Muy responsables,Poco frecuentes: 1 persona de cada 4,Moderada o mucha,NS-NC,Poca,Poca,Moderada o mucha,NS-NC,NS-NC,Poca,Poca,Menos,Ni ha disminuido ni ha aumentado,No,NS-NC,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,No,0,0,0,De acuerdo,En desacuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,8,5,2,1,5
Hombre,Española,Entre 45 y 54 años,Título Universitario,Carrús,Trabajador por cuenta ajena,Educación,Entre 21 y 30 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Ninguna,Poca,Moderada o mucha,Poca,Ninguna,Moderada o mucha,Más,Ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,No,Sí,No,Sí,0,0,0,De acuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,11,4,5,2,4
Mujer,Española,De 65 en adelante,Educación Primaria,Altet,Jubilado/Pensionista,Calzado,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Ninguna,NS-NC,Poca,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,No,Sí,No,Sí,4,2,5,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,9,4,5,3,5
Hombre,Española,Entre 45 y 54 años,Educación secundaria,El Pla,Trabajador autónomo,Resto sector servicios,Entre 21 y 30 años cotizados,Muy responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Poca,NS-NC,Moderada o mucha,Poca,Poca,NS-NC,NS-NC,Igual,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,Sí,3,7,2,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,No,No,Sí,Sí,8,6,2,2,3
Mujer,Española,Entre 45 y 54 años,Educación secundaria,Carrús,En paro,Calzado,Entre 10 y 20 años cotizados,Muy responsables,Muy responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Ninguna,Poca,Poca,NS-NC,Ninguna,NS-NC,Más,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,3,1,1,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,7,5,6,3,5
Mujer,Española,Entre 55 y 64 años,Educación secundaria,Carrús,Ama/o de casa,Amo/a de casa,Menos de 10 años cotizados,Muy responsables,Muy responsables,Poco frecuentes: 1 persona de cada 4,Poca,Ninguna,Poca,Ninguna,Poca,Poca,Poca,Poca,NS-NC,Igual,Ni ha disminuido ni ha aumentado,No,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,1,0,2,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,6,6,7,2,5
Hombre,Española,Entre 25 y 34 años,Título Universitario,El Pla,Trabajador por cuenta ajena,Resto sector servicios,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,Más,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,6,3,7,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,14,6,4,2,5
Mujer,Española,De 65 en adelante,Sin estudios,Altet,Jubilado/Pensionista,Amo/a de casa,Nunca he cotizado,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Ninguna,Poca,Ninguna,Poca,Moderada o mucha,NS-NC,Ninguna,Poca,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,NS-NC,Sí,No,No,Sí,No,Sí,No,Sí,2,1,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,7,4,3,2,4
Mujer,Española,Entre 55 y 64 años,Formación Profesional,Ciutat Vella,Trabajador por cuenta ajena,Administración pública,31 o más años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,,,,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,No,Sí,Sí,No,No,14,6,4,2,3
Mujer,Española,Entre 55 y 64 años,Bachillerato,Altabix,Trabajador por cuenta ajena,Servicio doméstico,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy poco frecuentes o irrelevante: menos de 1 persona de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Menos,Ha disminuido,Sí,Empresario,Sí,No,Sí,No,Sí,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,7,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,5,4,7,3,5
Mujer,Española,Entre 55 y 64 años,Educación Primaria,El Pla,Trabajador por cuenta ajena,Resto sector servicios,31 o más años cotizados,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,No,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,No,Sí,Sí,Sí,No,Sí,No,Sí,6,2,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,14,5,5,3,5
Mujer,Extranjera,Entre 35 y 44 años,Educación secundaria,Carrús,Trabajador por cuenta ajena,Resto sector servicios,Entre 10 y 20 años cotizados,Muy poco responsables,En general responsables,Muy poco frecuentes o irrelevante: menos de 1 persona de cada 4,Poca,Moderada o mucha,Poca,Ninguna,Poca,Poca,Poca,Moderada o mucha,NS-NC,Menos,Ni ha disminuido ni ha aumentado,NS-NC,NS-NC,Sí,No,No,No,No,Sí,NS-NC,NS-NC,No,No,Sí,No,Sí,No,Sí,8,2,1,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,No,No,9,2,3,1,3
Mujer,Española,Entre 55 y 64 años,Educación Primaria,Ciutat Vella,Jubilado/Pensionista,Educación,31 o más años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Igual,Ni ha disminuido ni ha aumentado,No,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,0,0,0,En desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,0,6,7,0,5
Hombre,Española,Entre 45 y 54 años,Educación secundaria,Altabix,Trabajador por cuenta ajena,Resto sector servicios,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Poca,Ninguna,Poca,Poca,Poca,Poca,Poca,NS-NC,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,7,6,8,De acuerdo,De acuerdo,En desacuerdo,Quizás,Sí,Sí,Sí,Sí,No,No,9,6,4,2,4
Mujer,Española,De 65 en adelante,Educación Primaria,El Pla,Jubilado/Pensionista,Resto sector servicios,Nunca he cotizado,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,Poca,Poca,Moderada o mucha,Poca,Moderada o mucha,NS-NC,NS-NC,Más,Ha disminuido,Sí,Empresario,Sí,No,Sí,No,No,Sí,Lo que diga la ley,Sí,No,No,No,No,No,No,Sí,9,5,1,De acuerdo,De acuerdo,De acuerdo,Sí,No,Sí,Sí,Sí,Sí,No,9,3,1,3,4
Mujer,Española,Entre 25 y 34 años,Formación Profesional,Carrús,Estudiante,Estudiando,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Poca,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Más,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,No,No,Sí,Otro,Sí,Sí,Sí,Sí,No,Sí,No,Sí,6,0,3,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,Sí,10,4,5,3,4
Mujer,Española,Entre 55 y 64 años,Título Universitario,Ciutat Vella,En paro,Calzado,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Poca,NS-NC,Igual,Ha disminuido,Sí,Trabajador y empresario,Sí,Sí,Sí,NS-NC,NS-NC,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,0,0,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,No,No,8,4,6,2,4
Hombre,Española,Entre 55 y 64 años,Educación Primaria,Carrús,En paro,Construcción,31 o más años cotizados,En general responsables,Muy responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Poca,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,No,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,No,Sí,No,Sí,8,4,2,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,12,5,5,1,5
Hombre,Española,Entre 45 y 54 años,Educación Primaria,Altet,Trabajador por cuenta ajena,Calzado,Entre 21 y 30 años cotizados,Muy responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Más,Ha aumentado,Sí,Empresario,No,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,No,No,Sí,Sí,Sí,No,Sí,2,0,4,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,2,3,4,3,5
Hombre,Española,Entre 25 y 34 años,Educación secundaria,Altabix,Trabajador autónomo,Resto sector servicios,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Igual,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,NS-NC,Sí,No,Sí,Sí,No,Sí,No,Sí,2,0,1,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,6,4,2,5
Hombre,Española,Entre 45 y 54 años,Título Universitario,El Pla,Trabajador por cuenta ajena,Resto sector servicios,Entre 21 y 30 años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,Sí,A nadie (a largo plazo),Sí,No,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,7,5,5,En desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,16,3,7,1,5
Mujer,Española,Entre 55 y 64 años,Título Universitario,El Pla,En paro,Administración pública,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Más,Ha aumentado,Sí,Empresario,Sí,No,Sí,No,No,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,0,6,7,En desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,10,3,4,1,5
Hombre,Española,Entre 25 y 34 años,Título Universitario,Altabix,En paro,Hostelería-Turismo,Menos de 10 años cotizados,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Ninguna,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Otro,Sí,No,Sí,Sí,No,Sí,No,Sí,2,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,No,Sí,No,12,6,4,3,4
Hombre,Española,Entre 35 y 44 años,Título Universitario,Altabix,Trabajador autónomo,Resto sector servicios,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Ha aumentado,No,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,0,0,0,En desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,No,Sí,15,6,3,1,4
Mujer,Española,De 65 en adelante,Educación Primaria,Carrús,Ama/o de casa,Otro,Nunca he cotizado,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,6,8,7,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,18,6,4,3,5
Hombre,Española,Entre 55 y 64 años,Bachillerato,Ciutat Vella,Trabajador autónomo,Resto sector servicios,Entre 21 y 30 años cotizados,Muy responsables,Muy responsables,Poco frecuentes: 1 persona de cada 4,Poca,NS-NC,Poca,Ninguna,Moderada o mucha,Moderada o mucha,NS-NC,Ninguna,Ninguna,Menos,Ha disminuido,No,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Otro,No,No,No,Sí,No,Sí,No,Sí,2,3,1,De acuerdo,De acuerdo,En desacuerdo,Sí,No,No,Sí,Sí,Sí,No,6,6,3,2,3
Hombre,Española,Entre 25 y 34 años,Formación Profesional,Ciutat Vella,Trabajador autónomo,Resto sector servicios,Menos de 10 años cotizados,Muy poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,4,2,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,No,Sí,No,14,6,3,3,4
Hombre,Española,De 65 en adelante,Bachillerato,Ciutat Vella,Jubilado/Pensionista,Otro,31 o más años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Igual,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,No,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,2,1,1,En desacuerdo,De acuerdo,De acuerdo,Sí,No,No,Sí,Sí,Sí,No,13,5,4,2,3
Hombre,Española,De 65 en adelante,Formación Profesional,Carrús,Jubilado/Pensionista,Calzado,31 o más años cotizados,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Ninguna,Moderada o mucha,Ninguna,Moderada o mucha,Poca,Poca,Igual,Ni ha disminuido ni ha aumentado,No,Empresario,Sí,Sí,Sí,Sí,No,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,No,No,11,5,3,3,4
Mujer,Española,Entre 45 y 54 años,Formación Profesional,El Pla,En paro,Otro,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,No,Sí,Otro,Sí,No,No,Sí,No,Sí,No,Sí,4,2,8,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,15,5,3,3,5
Mujer,Española,De 65 en adelante,Educación Primaria,El Pla,Jubilado/Pensionista,Calzado,Nunca he cotizado,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Ninguna,Ninguna,Moderada o mucha,Moderada o mucha,Ninguna,Ninguna,NS-NC,Más,Ha disminuido,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,Sí,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,7,6,4,3,5
Mujer,Española,Entre 45 y 54 años,Formación Profesional,Carrús,En paro,Sanidad,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Poca,Poca,Poca,Poca,Poca,Igual,Ha disminuido,No,Trabajador y empresario,Sí,No,Sí,No,No,Sí,Otro,Sí,No,Sí,Sí,No,Sí,No,Sí,1,1,2,De acuerdo,En desacuerdo,De acuerdo,Sí,No,No,Sí,Sí,Sí,No,12,3,4,2,3
Mujer,Española,Entre 45 y 54 años,Título Universitario,Torrellano,En paro,Sanidad,Entre 10 y 20 años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Poca,Poca,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,3,0,0,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,6,7,1,5
Mujer,Española,Entre 55 y 64 años,Educación Primaria,Carrús,En paro,Calzado,Entre 10 y 20 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,No,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,8,0,6,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,No,Sí,No,15,6,6,3,3
Hombre,Española,Entre 25 y 34 años,Título Universitario,El Pla,En paro,Resto sector servicios,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Poca,Ninguna,Poca,Poca,Poca,Poca,Poca,Igual,Ni ha disminuido ni ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,NS-NC,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,5,3,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,9,6,6,2,5
Mujer,Española,De 65 en adelante,Educación Primaria,Carrús,Jubilado/Pensionista,Amo/a de casa,Menos de 10 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,Sí,No,Sí,Sí,No,Sí,Lo que diga la ley,No,No,No,No,No,No,No,Sí,5,4,0,De acuerdo,De acuerdo,De acuerdo,Quizás,Sí,Sí,Sí,Sí,Sí,No,15,4,1,3,5
Hombre,Española,De 65 en adelante,Bachillerato,El Pla,Jubilado/Pensionista,Otro,31 o más años cotizados,En general responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Ninguna,Poca,NS-NC,Ni ha disminuido ni ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,No,No,Sí,NS-NC,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,5,7,2,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,8,4,6,3,5
